,wallet,总利润,盈亏比,最大盈利涨幅,最大回撤涨幅,
391,9RYHa1GS34EQgEjzUTf6cRwtUFzdAhygeK8EP4yQuxFm,5961.524935,13.73601802,8.209291664,-0.478267147,
232,5qFCp1MeM6cAMafNUhai6sEUEm7xbFHEgKDvKggPkg4f,2713.34098,13.6752836,4.847748695,-0.59035829,
411,1F7s2hsJTxk13bPspEpKVjkGUpb9oVeUM6d1fKTTXaM,7665.928151,13.47383471,16.97198675,-0.434163402,
110,6B7Z7UBZWnqGzqbXm21jes7dK1w4xzHrT6PN9DNA8n2b,20075.47199,13.45924242,50.89982266,-0.277345071,
128,8DSii5GHqcRSufWsrQu1i3oDTnyFS5iD3Jc9PjE7XzWf,7485.176671,13.37897703,2.875127444,-0.560770465,
312,GsneDJXr5yHyAkA7ehLRM89tm9uYeUGZZ7JCTE33Bbw5,2186.485894,13.28948223,4.273801706,-0.469251422,
237,8rdq6vTVPZchYC77tnXC1r3SXr5oETEzvDsWTb8Cr6Kj,2567.411992,13.27300891,18.34995103,-0.409315643,
8,GZtwK14agrVHre9eUXQkGP71Vek7ZPXCJnYpcgecbBKo,2158.957938,13.04938336,3.153040253,-0.230121371,
403,C4bNZVZBoCHvg4pBsu3bF1Mpm9cm4GAUWRXZUpN8AJuC,4875.886859,12.99913995,10.38013227,-0.44041172,
499,5yVAkjTNNXjDoJg3uDq1RtrAaB4TKcNNnoWUnyrVwZjH,11257.90823,12.58546693,39.53705386,-0.928682363,
69,3yeG7HFLpEyosSgZhrcHhYN7NGCeEe673MThBZFW1ksn,10447.1872,12.5812489,4.412566782,-0.388300798,
153,FFxkKY9HiVGocX32UHetuMmLWUGAvLjUgPQPoFGTVG3n,3542.286469,12.03025965,4.549102054,-0.359366819,
37,Dv3e88dKknh5xG3ocZn2ZwDMqZ86tzPrmUqyhbN78EFR,1070.108877,11.7428378,1.660139679,-0.346534351,
425,ADHDkYY15CXJ38GF61caWSeTncAYawWPqMeZdnR11WRw,12027.89695,11.58241709,18.23609534,-0.449544787,
496,8n2hTZ37CvMfhBKJaHUaG41ADyuuBsEju39Q9yuEzW9C,6957.340025,11.58056756,3.474001825,-0.343611616,
309,FZgcaq8dV79rDV9vTwR7Den9SA7wcxVdcx2Zk8vmYYTz,50294.05446,11.49436125,13.57042907,-0.724576243,
44,42zaMJYomfN2ugwRrxzhbFhYFX9vfmb7Phe9Q6WEMhwo,1312.79873,11.22698963,3.023898961,-0.302403073,
226,CWwqM3GEXmSBGpwRKtV9AFJ6rJ7JMQ3KmyXpmo53bwc6,1187.506017,11.16787304,3.812760266,-0.347027169,
219,9vubnnm8B4FGWM4b8poEQuUvCc9X1TdhvMKBzXH5e2AA,1265.736089,11.13677549,1.924096196,-0.986641819,
457,2mfBwjhprA1YYrX2nEixUAKs9sGeNree4V1Gi4o8EWu8,19763.52696,10.96003359,2.913970429,-0.961632751,
387,8P572TPtVoKiSeLnq5cTB6WKdfnX1LMStoaAumnUtR9C,6556.846596,10.88855623,14.99922408,-0.29480535,
284,35UuA85tDXn9wADHrbWZ9ESSHPaj1AxzUFWESnvTvrKd,8116.82398,10.62390669,6.662037279,-0.678712791,
42,HKbetfKcKAW6QbvFC9rTBGkcqywMuXSccyFdyN1kKKGX,7397.246396,10.58419772,4.867052454,-0.632570703,
125,BniFKNbSua4SHvaC4o2JpZcyEBAM7KFLTygC8DjhAd2R,1036.824732,10.2083854,1.004929594,-0.284456983,
156,EjTUXcNh9rweCW9Qrs47Uc3GTyAJRDCZxhff8arF1XFa,7411.433274,10.20131234,3.143254185,-0.940447974,
230,CGTHrWXThqfeCPUeqsULAWwzCpFvbnjd2hwuLyEDDd3C,3176.330279,10.09380118,7.926414911,-0.501751337,
166,9BXAGobFqz81xH1ZvHpUp2StvA8wM9zwDCAqxobc7x6p,2895.459924,10.07256087,5.001182634,-0.268628487,
